game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean,global_user_score_mean,user_score_mean,composite_sentiment_correlation_user_mean,composite_sentiment_correlation_global_mean,composite_sentiment_confidence_mean,composite_sentiment_adaptive_mean
world in conflict,281.0,44.0,Massive Entertainment,pc,1.0,14020.0,2007,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04,89,5.48,80.82,1.37,12.33,0.0,0.0,9.26,0.0,25.93,0.0,42.59,0.0,16.67,1.85,3.7,39.39,23.64,7.27,13.33,16.36,0.613,0.104,0.427,8.2,9.217,0.382,0.367,0.387,0.475
world of goo,702.0,26.0,2D Boy,"pc, ios-iphoneipad, 3ds",3.0,14013.0,2008,Puzzle,2D Boy,0.0,0.03,0.0,0.01,0.04,90,4.01,66.05,0.93,25.93,3.09,0.0,0.54,0.0,38.71,2.69,13.44,8.06,2.15,1.08,33.33,37.88,9.47,9.95,24.08,18.62,0.659,0.103,0.369,8.067,7.519,0.375,0.358,0.372,0.478
world of tanks,2237.0,38.0,Wargaming.net,"xbox-360, playstation-4, xbox-one, pc",4.0,9999.0,2011,Shooter,Wargaming.net,0.0,0.26,0.0,0.06,0.32,80,4.88,48.17,3.66,31.1,12.2,1.27,75.95,1.27,6.33,1.27,1.27,0.0,6.33,3.8,2.53,23.15,9.72,14.81,41.2,11.11,0.294,-0.014,-0.371,5.063,4.477,-0.043,-0.068,-0.065,-0.085
world of warcraft,3252.0,57.0,Blizzard Entertainment,pc,1.0,138.0,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.498,0.151,0.235,7.5,7.447,0.292,0.278,0.255,0.344
world of warcraft: cataclysm,1345.0,53.0,Blizzard Entertainment,pc,1.0,801.0,2010,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.09,90,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.479,0.062,-0.339,5.9,5.222,0.052,0.021,0.033,0.023
world of warcraft: legion,1301.0,66.0,Blizzard Entertainment,pc,1.0,6089.0,2016,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.28,88,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.539,0.213,0.264,7.3,7.222,0.335,0.322,0.323,0.33
world of warcraft: mists of pandaria,1539.0,42.0,Blizzard Entertainment,pc,1.0,947.0,2012,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,82,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.465,0.096,-0.164,5.2,5.289,0.121,0.096,0.111,0.097
world of warcraft: the burning crusade,1121.0,46.0,Blizzard Entertainment,pc,1.0,289.0,2007,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,91,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.542,0.205,0.09,8.2,8.042,0.272,0.253,0.249,0.243
world of warcraft: warlords of draenor,1502.0,49.0,Blizzard Entertainment,pc,1.0,4109.0,2014,Action,Activision,0.08,0.36,0.0,0.04,0.48,87,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.359,0.005,-0.757,5.7,4.478,-0.153,-0.192,-0.198,-0.295
world of warcraft: wrath of the lich king,1403.0,47.0,Blizzard Entertainment,pc,1.0,1488.0,2008,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.3199999999999998,91,12.5,64.22,4.13,16.75,2.4,0.5,93.89,0.25,1.0,0.25,0.62,0.31,1.43,1.25,0.5,21.85,15.15,6.94,40.46,15.59,0.573,0.234,0.217,8.2,8.152,0.336,0.32,0.334,0.346
world soccer winning eleven 7 international,41.0,28.0,KCET,"pc, playstation-2",2.0,498.0,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9000000000000004,93,5.66,77.36,0.0,11.32,5.66,2.78,36.11,2.78,2.78,0.0,8.33,0.0,36.11,8.33,2.78,27.66,28.72,6.38,19.15,18.09,0.5,0.008,0.199,7.08,7.4,0.233,0.216,0.214,0.293
world soccer winning eleven 8 international,33.0,26.0,KCET,"pc, playstation-2, xbox",3.0,5719.5,2004,Sports,Konami Digital Entertainment,0.23,1.91,1.12,0.68,3.94,91,5.36,73.21,5.36,8.93,7.14,2.78,38.89,2.78,2.78,0.0,16.67,0.0,11.11,22.22,2.78,24.04,30.77,7.69,21.15,16.35,0.93,0.07,0.258,7.633,9.0,0.411,0.377,0.403,0.58
world soccer winning eleven 9,9.0,19.0,KCET,"pc, playstation-2, xbox",3.0,2354.0,2005,Sports,Konami Digital Entertainment,0.18,2.59,0.92,0.8,4.49,89,4.76,78.57,2.38,10.71,3.57,1.54,41.54,0.0,3.08,0.0,24.62,1.54,16.92,7.69,3.08,25.0,36.81,5.56,19.44,13.19,0.892,-0.055,0.883,8.25,8.5,0.581,0.565,0.563,0.861
worldwide soccer manager 2009,8.0,29.0,Sports Interactive,pc,1.0,1763.0,2008,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,83,0.0,53.85,0.0,23.08,23.08,0.0,54.55,0.0,0.0,0.0,0.0,9.09,9.09,27.27,0.0,11.11,20.83,5.56,40.28,22.22,0.361,0.167,1.0,6.4,8.0,0.525,0.541,0.578,0.758
worms 3d,26.0,31.0,Team17,"pc, playstation-2, xbox, gamecube",4.0,11496.67,2003,Strategy,Sega,0.15,0.07,0.0,0.02,0.24,70,7.69,82.05,0.0,10.26,0.0,0.0,10.0,2.5,25.0,0.0,25.0,2.5,22.5,0.0,12.5,25.5,12.75,8.05,31.54,22.15,0.692,0.08,-0.216,7.238,7.308,0.17,0.133,0.16,0.201
worms 4: mayhem,14.0,27.0,Team17,"pc, wii-u",2.0,13752.0,2005,Strategy,Codemasters,0.03,0.01,0.0,0.0,0.04,69,7.89,85.53,0.0,6.58,0.0,0.0,7.5,0.0,22.5,0.0,37.5,2.5,10.0,5.0,15.0,40.32,16.94,8.06,25.81,8.87,0.452,0.088,-0.226,7.7,6.75,0.092,0.066,0.085,0.043
worms blast,21.0,12.0,Team17,"pc, playstation-5",2.0,12518.0,2002,Puzzle,Ubisoft,0.05,0.01,0.0,0.0,0.06,73,10.0,50.0,0.0,20.0,20.0,0.0,0.0,8.33,41.67,8.33,33.33,0.0,0.0,8.33,0.0,22.0,6.0,0.0,44.0,28.0,0.467,-0.128,-0.227,6.7,5.6,0.027,-0.004,-0.023,0.034
worms world party,19.0,10.0,Team17,"pc, xbox-series-x",2.0,14304.5,2002,Strategy,Ubisoft,0.04,0.02,0.0,0.0,0.06,79,6.5,74.8,0.0,16.26,2.44,1.82,23.64,0.0,7.27,0.0,16.36,0.0,38.18,5.45,7.27,25.64,14.87,12.31,37.44,9.74,0.818,0.206,0.999,7.9,8.667,0.684,0.679,0.699,0.864
