platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
xbox,men of valor,1,-20%,3,-60%,1,-20%,23,-49%,24,-51%,0,0%
wii,tenchu: shadow assassins,14,-58%,4,-17%,6,-25%,13,-37%,21,-60%,1,-3%
psp,tenchu: shadow assassins,27,-73%,3,-8%,7,-19%,5,-28%,12,-67%,1,-6%
game-boy-advance,sonic advance,104,-67%,44,-28%,7,-5%,22,-100%,0,0%,0,0%
xbox-360,art of fighting anthology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox,gunvalkyrie,5,-45%,3,-27%,3,-27%,15,-54%,12,-43%,1,-4%
playstation-4,rocket league,1.9k,-77%,364,-15%,190,-8%,47,-94%,3,-6%,0,0%
xbox-one,rocket league,281,-77%,46,-13%,40,-11%,22,-100%,0,0%,0,0%
pc,rocket league,1.1k,-71%,224,-14%,232,-15%,17,-77%,3,-14%,0,0%
nintendo-switch,rocket league,303,-74%,66,-16%,41,-10%,31,-94%,1,-3%,0,0%
playstation-2,ford mustang: the legend lives,2,-50%,0,0%,2,-50%,3,-60%,0,0%,2,-40%
xbox,ford mustang: the legend lives,N/A,N/A,N/A,N/A,N/A,N/A,2,-15%,7,-54%,4,-31%
playstation-2,yu-gi-oh! capsule monster coliseum,27,-71%,10,-26%,1,-3%,1,-11%,7,-78%,1,-11%
wii,avatar: the last airbender - the burning earth,0,0%,2,-50%,2,-50%,0,0%,3,-75%,1,-25%
xbox-360,avatar: the last airbender - the burning earth,3,-16%,6,-32%,10,-53%,2,-29%,1,-14%,4,-57%
ds,avatar: the last airbender - the burning earth,5,-71%,0,0%,2,-29%,0,0%,4,-100%,0,0%
playstation-2,avatar: the last airbender - the burning earth,4,-44%,4,-44%,1,-11%,0,0%,3,-75%,1,-25%
wii,high school musical: sing it!,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,4,-100%,0,0%
playstation-2,high school musical: sing it!,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,6,-75%,2,-25%
playstation-5,spirits & spells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,elven legacy,16,-46%,13,-37%,6,-17%,12,-44%,13,-48%,2,-7%
playstation-3,ridge racer unbounded,15,-45%,7,-21%,11,-33%,9,-45%,11,-55%,0,0%
xbox-360,ridge racer unbounded,39,-66%,12,-20%,8,-14%,31,-53%,23,-39%,5,-8%
pc,ridge racer unbounded,36,-38%,27,-29%,31,-33%,3,-33%,6,-67%,0,0%
ds,beat city,2,-33%,2,-33%,2,-33%,3,-43%,4,-57%,0,0%
pc,medieval ii: total war,794,-92%,62,-7%,10,-1%,39,-100%,0,0%,0,0%
pc,sherlock holmes: the mystery of the mummy,2,-18%,6,-55%,3,-27%,1,-8%,11,-85%,1,-8%
ds,sherlock holmes: the mystery of the mummy,2,-22%,2,-22%,5,-56%,0,0%,7,-88%,1,-13%
ds,final fantasy fables: chocobo tales,13,-46%,13,-46%,2,-7%,25,-60%,15,-36%,2,-5%
playstation-2,nobunaga's ambition: rise to power,6,-75%,1,-13%,1,-13%,3,-43%,4,-57%,0,0%
playstation-2,naruto: ultimate ninja 3,59,-78%,16,-21%,1,-1%,16,-67%,8,-33%,0,0%
ds,nicktoons: battle for volcano island,2,-50%,1,-25%,1,-25%,1,-17%,4,-67%,1,-17%
playstation-2,nicktoons: battle for volcano island,6,-32%,13,-68%,0,0%,1,-14%,4,-57%,2,-29%
game-boy-advance,nicktoons: battle for volcano island,4,-50%,2,-25%,2,-25%,1,-17%,5,-83%,0,0%
gamecube,nicktoons: battle for volcano island,1,-25%,3,-75%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
pc,myst iii: exile,39,-70%,16,-29%,1,-2%,19,-86%,3,-14%,0,0%
xbox-360,powerup heroes,7,-58%,3,-25%,2,-17%,4,-31%,7,-54%,2,-15%
