GPSID,GamePlatformID,game_title,platform,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
358,285,hatsune miku: project diva f,playstation-3,89.0,-0.75,18.0,-0.15,12.0,-0.1,5.0,-0.5,4.0,-0.4,1.0,-0.1
359,353,hatsune miku: project diva f,playstation-vita,77.0,-0.76,13.0,-0.13,11.0,-0.11,7.0,-0.7,3.0,-0.3,0.0,0.0
360,419,the legend of spyro: the eternal night,wii,13.0,-0.57,3.0,-0.13,7.0,-0.3,2.0,-0.25,5.0,-0.63,1.0,-0.13
361,202,the legend of spyro: the eternal night,playstation-2,26.0,-0.39,21.0,-0.32,19.0,-0.29,2.0,-0.11,11.0,-0.61,5.0,-0.28
362,380,wipeout pulse,psp,33.0,-0.85,4.0,-0.1,2.0,-0.05,36.0,-0.9,4.0,-0.1,0.0,0.0
363,203,armored core: last raven,playstation-2,17.0,-0.81,1.0,-0.05,3.0,-0.14,3.0,-0.19,10.0,-0.63,3.0,-0.19
364,204,james bond 007: agent under fire,playstation-2,28.0,-0.53,21.0,-0.4,4.0,-0.08,9.0,-0.33,17.0,-0.63,1.0,-0.04
365,464,james bond 007: agent under fire,xbox,5.0,-0.45,4.0,-0.36,2.0,-0.18,9.0,-0.56,6.0,-0.38,1.0,-0.06
366,80,james bond 007: agent under fire,gamecube,10.0,-0.37,12.0,-0.44,5.0,-0.19,6.0,-0.38,10.0,-0.63,0.0,0.0
367,206,gradius v,playstation-2,26.0,-0.9,2.0,-0.07,1.0,-0.03,35.0,-0.76,11.0,-0.24,0.0,0.0
368,3,asphalt 3d,3ds,12.0,-0.31,9.0,-0.23,18.0,-0.46,2.0,-0.05,13.0,-0.35,22.0,-0.59
369,389,naruto shippuden: ultimate ninja impact,psp,41.0,-0.66,12.0,-0.19,9.0,-0.15,2.0,-0.13,12.0,-0.75,2.0,-0.13
370,276,battlefield 3,playstation-3,1400.0,-0.72,241.0,-0.13,288.0,-0.15,35.0,-0.92,3.0,-0.08,0.0,0.0
371,505,battlefield 3,xbox-360,1600.0,-0.71,309.0,-0.14,332.0,-0.15,53.0,-0.93,4.0,-0.07,0.0,0.0
372,134,battlefield 3,pc,4200.0,-0.7,963.0,-0.16,777.0,-0.13,60.0,-0.98,1.0,-0.02,0.0,0.0
373,162,resident evil 4 hd,pc,737.0,-0.85,76.0,-0.09,54.0,-0.06,25.0,-0.76,8.0,-0.24,0.0,0.0
375,181,black & white 2,pc,51.0,-0.49,44.0,-0.42,10.0,-0.1,30.0,-0.6,18.0,-0.36,2.0,-0.04
376,52,advance wars,game-boy-advance,141.0,-0.9,11.0,-0.07,5.0,-0.03,27.0,-0.96,1.0,-0.04,0.0,0.0
377,34,crosswords,ds,1.0,-0.25,2.0,-0.5,1.0,-0.25,6.0,-0.32,11.0,-0.58,2.0,-0.11
378,208,wwe smackdown! vs. raw,playstation-2,47.0,-0.72,18.0,-0.28,0.0,0.0,38.0,-0.83,8.0,-0.17,0.0,0.0
