GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
1170,1170,2006,Role-Playing,Sony,Level 5,0.33,0.21,0.0,0.1,0.02,124,45
1171,1171,2001,Racing,Acclaim Entertainment,Acclaim Studios Salt Lake City,0.3399999999999999,0.2,0.11,0.0,0.03,0,14
1172,1172,2012,Adventure,Sony,ThatGameCompany,0.25,0.04,0.15,0.0,0.06,1876,78
1173,1173,2009,Action,Rising Star Games,FeelPlus,0.1099999999999999,0.08,0.01,0.01,0.01,26,32
1174,1174,2003,Shooter,BAM! Entertainment,Rebellion,0.03,0.02,0.01,0.0,0.0,6,17
1175,1175,2005,Racing,THQ,Juice Games,0.71,0.39,0.24,0.0,0.08,12,39
1176,1176,2007,Racing,THQ,Juice Games,1.91,0.87,0.74,0.02,0.28,26,24
1177,1177,2003,Simulation,Konami Digital Entertainment,Blue Tongue Entertainment,0.3399999999999999,0.18,0.13,0.0,0.03,22,21
1178,1178,2011,Action,Unknown,Telltale Games,0.16,0.15,0.0,0.0,0.01,210,34
1179,1179,2006,Action,Eidos Interactive,Avalanche Studios,0.18,0.11,0.05,0.01,0.01,56,57
1180,1180,2010,Action,Square,Avalanche Studios,3.54,1.04,1.89,0.08,0.53,309,74
1181,1181,2015,Action,Square,Avalanche Studios,2.85,0.91,1.51,0.07,0.36,1037,53
1182,1182,2009,Misc,Ubisoft,Ubisoft Paris,7.27,3.51,3.03,0.0,0.73,31,21
1183,1183,2010,Misc,Ubisoft,Ubisoft,9.52,5.84,2.89,0.01,0.78,35,24
1184,1184,2014,Misc,Ubisoft,Ubisoft,4.86,2.58,1.79,0.0,0.49,23,17
1185,1185,2011,Misc,Ubisoft,Ubisoft,12.93,7.85,3.76,0.0,1.32,21,34
1186,1186,2012,Misc,Ubisoft,Ubisoft,8.92,5.52,2.67,0.0,0.7300000000000001,46,23
1187,1187,2006,Role-Playing,Eidos Interactive,Snowblind Studios,0.32,0.28,0.01,0.0,0.03,39,37
1188,1188,2005,Action,Microsoft,Rare Ltd.,0.3400000000000001,0.28,0.03,0.0,0.03,119,76
1189,1189,2010,Shooter,Square,Io Interactive,1.16,0.37,0.5700000000000001,0.06,0.16,160,80
1190,1190,2007,Shooter,Eidos Interactive,Io Interactive,1.5099999999999998,0.6499999999999999,0.63,0.02,0.21,82,57
1191,1191,2001,Platform,Titus,Tate Multimedia,0.01,0.01,0.0,0.0,0.0,38,17
1192,1192,2005,Platform,JoWood Productions,Tate Interactive,0.03,0.02,0.01,0.0,0.0,24,12
1193,1193,2004,Puzzle,Namco Bandai Games,Now Production,0.74,0.47,0.02,0.17,0.08,111,55
1194,1194,2009,Puzzle,Namco Bandai Games,Bandai Namco Games,0.41,0.26,0.05,0.06,0.04,47,51
1195,1195,2001,Strategy,THQ,Koei,0.4600000000000001,0.13,0.1,0.2,0.03,19,15
1196,1196,2012,Action,Nintendo,Project Sora,1.26,0.48,0.35,0.36,0.07,670,75
1197,1197,2003,Shooter,Sony,Namco,0.97,0.54,0.33,0.0,0.0999999999999999,14,33
1198,1198,2013,Action,Deep Silver,Grasshopper Manufacture,0.35,0.2,0.06,0.06,0.03,245,39
1199,1199,2005,Action,Capcom,Grasshopper Manufacture,0.23,0.16,0.06,0.0,0.01,85,57
1200,1200,2004,Shooter,Sony,Guerrilla,0.95,0.79,0.03,0.0,0.13,230,67
1201,1201,2009,Shooter,Sony,Guerrilla,3.02,1.4,1.07,0.08,0.47,951,94
1202,1202,2011,Shooter,Sony,Guerrilla,2.8,1.45,0.88,0.09,0.38,1149,85
1203,1203,2006,Shooter,Sony,Guerrilla,0.8999999999999999,0.44,0.28,0.0,0.18,97,56
1204,1204,2013,Shooter,Sony,Guerilla Cambridge,1.0,0.25,0.49,0.04,0.22,632,86
1205,1205,2013,Shooter,Sony,Guerrilla,2.5700000000000003,0.89,1.33,0.07,0.28,2545,88
