RID,GameID,metascore,global_user_score_mean,user_score_mean
538,538,74,8.3,8.308
539,539,53,5.6,4.0
540,540,34,6.1,5.312
541,541,57,8.0,6.0
542,542,89,8.36,8.156
543,543,84,6.561,6.0
544,544,84,7.385,7.217
545,545,64,8.1,9.5
546,546,94,8.048,7.889
547,547,68,5.364,4.273
548,548,84,8.9,7.762
549,549,84,8.236,7.534
550,550,77,7.88,8.027
551,551,67,5.5,1.0
552,552,87,9.0,9.756
553,553,88,5.719,6.441
554,554,63,6.7,7.6
555,555,54,6.2,6.0
556,556,49,5.482,4.706
557,557,62,5.2,8.0
558,558,63,7.888,7.562
559,559,48,6.12,4.7
560,560,71,7.7,8.25
561,561,68,7.19,8.137
562,562,51,3.3,4.556
563,563,50,6.1,7.75
564,564,61,7.4,10.0
565,565,64,8.0,8.0
566,566,57,6.7,6.474
567,567,83,7.6,6.952
568,568,87,8.144,8.208
569,569,87,7.162,6.733
570,570,85,8.166,7.3
571,571,75,6.117,5.952
572,572,66,6.9,7.0
573,573,84,8.122,8.778
574,574,78,8.079,8.5
575,575,80,8.397,8.862
576,576,80,8.246,7.797
577,577,74,8.2,8.364
578,578,64,7.6,10.0
579,579,84,7.622,8.391
580,580,88,8.193,8.056
581,581,72,7.0,7.5
582,582,74,6.346,6.3
583,583,71,7.5,7.833
584,584,66,6.718,6.471
585,585,60,7.675,8.0
586,586,76,8.4,8.0
587,587,77,6.9,10.0
588,588,61,7.3,4.5
589,589,54,6.4,6.667
590,590,50,7.1,7.5
591,591,65,6.775,6.25
592,592,49,7.0,7.0
593,593,59,6.9,4.5
594,594,61,7.6,10.0
595,595,71,6.55,8.5
596,596,78,7.2,8.406
597,597,79,7.0,7.607
598,598,72,7.386,5.955
599,599,72,8.163,7.871
600,600,87,8.6,7.061
601,601,84,7.011,7.667
602,602,86,7.926,8.632
603,603,86,6.295,7.192
604,604,53,5.7,3.0
605,605,64,2.6,8.6
606,606,48,6.467,5.667
607,607,73,7.486,6.857
608,608,87,8.4,8.34
609,609,83,8.748,8.879
610,610,80,8.25,8.167
611,611,76,7.5,9.667
612,612,69,8.3,9.667
613,613,87,7.953,7.593
614,614,67,6.69,7.503
615,615,78,7.488,6.625
616,616,79,8.4,9.143
617,617,71,6.7,6.5
618,618,71,5.0,5.0
619,619,79,4.629,5.85
620,620,85,6.831,6.706
621,621,86,8.498,8.477
622,622,69,6.7,6.667
