SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
424,424,0.346,-0.061,-0.035
425,425,0.221,-0.001,-0.323
426,426,-0.174,-0.006,-0.09
427,427,0.54,-0.055,-0.339
428,428,0.343,0.079,-0.197
429,429,0.54,0.067,0.381
430,430,0.486,0.098,0.266
431,431,0.49,0.06,0.129
432,432,0.43,0.04,-0.302
433,433,-0.315,-0.1,-0.604
434,434,0.453,0.162,0.641
435,435,0.344,-0.003,-0.527
436,436,0.385,0.162,0.496
437,437,0.295,0.0,0.07
438,438,-0.452,-0.303,-0.702
439,439,0.543,0.13,0.15
440,440,0.315,0.048,0.056
441,441,0.557,0.02,0.095
442,442,0.387,0.003,-0.046
443,443,0.836,0.035,0.335
444,444,-0.054,-0.034,-0.989
445,445,0.457,-0.004,-0.002
446,446,0.588,0.026,0.364
447,447,0.773,0.221,0.998
448,448,0.494,0.069,0.136
449,449,0.085,-0.097,-0.68
450,450,0.77,0.003,0.805
451,451,0.55,-0.039,-0.089
452,452,0.533,0.104,0.106
453,453,0.544,0.138,0.158
454,454,0.426,0.081,0.044
455,455,0.608,0.03,-0.981
456,456,0.471,-0.038,-0.134
457,457,0.196,0.011,-0.47
458,458,0.829,-0.01,0.009
459,459,0.235,-0.0,-0.001
460,460,-0.07,-0.104,-0.976
461,461,0.621,0.065,0.106
462,462,0.539,-0.047,-0.971
463,463,-0.128,-0.14,-0.815
464,464,0.71,0.128,0.348
465,465,0.797,0.179,0.378
466,466,0.886,0.05,1.0
467,467,0.0,0.0,0.866
468,468,0.64,0.048,-0.131
469,469,-0.827,-0.184,-1.0
470,470,0.817,0.055,0.424
471,471,0.662,0.114,0.274
472,472,0.369,0.038,0.146
473,473,0.471,0.093,0.264
474,474,0.344,0.119,0.456
475,475,0.707,0.112,0.613
476,476,0.256,-0.039,-0.164
477,477,0.388,0.08,0.321
478,478,0.198,-0.005,-0.159
479,479,0.528,0.11,0.377
480,480,0.367,-0.009,-0.186
481,481,0.398,0.077,0.271
482,482,0.439,0.061,0.132
483,483,0.639,0.038,-0.238
484,484,0.65,0.175,-0.268
485,485,0.406,-0.001,-0.312
486,486,0.262,-0.012,-0.433
487,487,0.818,0.202,1.0
488,488,0.103,-0.05,-1.0
489,489,0.76,0.074,0.322
490,490,-0.349,-0.089,-0.333
491,491,0.68,0.111,0.509
492,492,0.584,0.07,-0.255
493,493,0.727,0.065,0.377
494,494,0.503,0.118,-0.023
495,495,0.168,0.018,-0.103
496,496,0.158,0.026,-0.383
497,497,0.737,-0.033,-0.998
498,498,0.536,0.061,0.242
499,499,0.446,0.166,0.446
500,500,0.476,0.106,0.216
501,501,0.513,0.005,-0.378
502,502,0.395,0.031,0.383
503,503,0.424,0.016,-0.13
504,504,0.247,0.059,0.077
505,505,0.287,0.013,-0.157
506,506,0.344,0.048,-0.069
507,507,0.235,0.077,0.21
508,508,-0.37,-0.095,-0.997
509,509,0.493,0.166,0.326
510,510,0.301,0.106,0.586
511,511,-0.191,-0.043,-0.324
512,512,0.277,0.119,0.635
513,513,0.02,0.021,0.057
514,514,0.214,-0.069,0.283
515,515,-0.016,0.029,-0.309
516,516,0.501,-0.032,0.012
517,517,0.395,-0.007,0.043
518,518,0.527,0.03,0.07
519,519,-0.973,-0.019,-0.985
520,520,0.939,0.189,-0.979
521,521,0.168,0.025,0.005
522,522,-0.278,-0.093,-0.993
523,523,0.559,-0.036,-0.509
524,524,0.454,0.123,0.448
525,525,0.591,0.179,0.526
526,526,0.537,0.016,-0.196
527,527,0.465,0.084,0.146
528,528,0.632,0.108,0.321
529,529,0.273,0.097,0.2
530,530,0.64,-0.039,0.137
531,531,0.785,0.122,0.553
532,532,0.502,0.097,0.241
533,533,0.592,0.072,-0.028
534,534,0.431,-0.35,0.966
535,535,0.301,-0.012,-0.44
536,536,0.616,0.066,-0.059
537,537,0.609,0.11,0.232
538,538,0.453,0.069,-0.076
539,539,0.698,-0.077,-0.328
